method,condition,precision,recall,mAP50,mAP50_95,F1
baseline,normal,0.6735060806774552,0.5392321526215798,0.5900419027471735,0.43079395625246575,0.5989357368563742
baseline,mild,0.6607160071273361,0.5149734473906469,0.565604190784933,0.40926628464930187,0.5788113495940915
baseline,medium,0.6310680842230857,0.4552461919415428,0.49578993487969675,0.3507918069957708,0.5289285955307951
baseline,severe,0.5600612076587683,0.35824017637796646,0.3854565248015941,0.2656346285748304,0.4369729356873277
zero_dce,normal,0.6740625310802838,0.5108885477348863,0.5695129976387375,0.41257869546082043,0.5812405824052136
zero_dce,mild,0.6435904534783319,0.4929310461647082,0.5417161970870159,0.38895454191060397,0.5582749039667688
zero_dce,medium,0.6055637053843949,0.4264365857942588,0.4655369652799225,0.3269817003034956,0.5004543529926926
zero_dce,severe,0.5249863403901021,0.32265153080273273,0.3428288673680879,0.23400789974285274,0.39966984046859755
sci,normal,0.6572915178933154,0.4781468731709819,0.5359119198268676,0.38542544984916205,0.553586855114009
sci,mild,0.6410425804094859,0.47170289222860495,0.5218572586979683,0.37351755916992035,0.5434875210122542
sci,medium,0.6000210773249521,0.41017898950819126,0.45377319208710565,0.31856983118640037,0.487261973664899
sci,severe,0.5243152596948994,0.317661303041465,0.33986149913152863,0.2311748865955883,0.3956278024127297
clahe,normal,0.6772473708787115,0.5246648922529422,0.5820749975170674,0.42313473711961763,0.5912709767097968
clahe,mild,0.6541575300669842,0.49626248023865827,0.5486936454970301,0.39419325739075417,0.5643744639865709
clahe,medium,0.6064440061427572,0.435273913095115,0.47017308317690476,0.33096068202726103,0.5067960351876399
clahe,severe,0.5320822065849246,0.3339660917810021,0.3548351640866457,0.24154011248838145,0.41036375309474377
