k,condition,gamma,tau,precision,recall,mAP50,mAP50_95,F1
0.0,normal,1.0,0.25,0.6945800472453185,0.5048871572203245,0.6293412221216261,0.5072347529775807,0.5847338621848788
0.0,mild,1.4,0.25,0.6899751938279898,0.4763565785927488,0.6102606775376916,0.4876977578598676,0.5636033081112105
0.0,medium,1.8,0.25,0.6857625617346048,0.4056081842595242,0.5645772947316702,0.4491052279011673,0.5097276219273504
0.0,severe,2.2,0.25,0.6637674316150146,0.29502675754568203,0.49220840797402576,0.38203824560732813,0.40849048800603754
0.02,normal,1.0,0.25,0.6945800472453185,0.5048871572203245,0.6293412221216261,0.5072347529775807,0.5847338621848788
0.02,mild,1.4,0.242,0.6855975492073603,0.4799328853593715,0.6104249297526865,0.4873422794723213,0.5646198507183864
0.02,medium,1.8,0.23399999999999999,0.6762270919014272,0.4140386176314805,0.5651589320292065,0.4483829807217491,0.5136071471160439
0.02,severe,2.2,0.226,0.6298413191326058,0.30457795097768303,0.4835176419208761,0.37354181612582316,0.4105989346727573
0.05,normal,1.0,0.25,0.6945800472453185,0.5048871572203245,0.6293412221216261,0.5072347529775807,0.5847338621848788
0.05,mild,1.4,0.23,0.674464242920482,0.48475059772791074,0.6091572434242921,0.4856454881668907,0.5640834355069724
0.05,medium,1.8,0.21,0.6518086139454681,0.4273704686200682,0.5622379417194662,0.4446550980946941,0.5162512085209087
0.05,severe,2.2,0.19,0.5982359939862707,0.3232135583177963,0.4800401515171805,0.36648734340764877,0.4196821927941652
0.08,normal,1.0,0.25,0.6945800472453185,0.5048871572203245,0.6293412221216261,0.5072347529775807,0.5847338621848788
0.08,mild,1.4,0.218,0.664732003824834,0.4880675232099092,0.6076946440064475,0.4843650687399396,0.5628630045323895
0.08,medium,1.8,0.186,0.6230694529363296,0.4425829139368134,0.5595394879545719,0.4397211442467109,0.517541935133531
0.08,severe,2.2,0.15399999999999997,0.555825645890266,0.3438767100140406,0.47177194190974425,0.3570362887866723,0.4248860596970654
0.1,normal,1.0,0.25,0.6945800472453185,0.5048871572203245,0.6293412221216261,0.5072347529775807,0.5847338621848788
0.1,mild,1.4,0.21000000000000002,0.6572734137034855,0.49152695265309926,0.606773999713929,0.48438915468102306,0.5624434106374486
0.1,medium,1.8,0.16999999999999998,0.6060711545533086,0.4534152460936397,0.5583198103483129,0.43693593899657995,0.518745500695892
0.1,severe,2.2,0.12999999999999998,0.5279242595906832,0.3599872099414762,0.46950855284625537,0.35852096014725865,0.4280741668324318
0.12,normal,1.0,0.25,0.6945800472453185,0.5048871572203245,0.6293412221216261,0.5072347529775807,0.5847338621848788
0.12,mild,1.4,0.202,0.6494388085931281,0.49518900895437257,0.6059550325397742,0.4831165353412326,0.5619205737857996
0.12,medium,1.8,0.154,0.581771739716795,0.4606841101670719,0.5540704210920108,0.43192776459465876,0.5141953901676289
0.12,severe,2.2,0.10599999999999998,0.48587243747691,0.37392360955050835,0.4596033516314072,0.3484628190214705,0.4226099346015631
0.15,normal,1.0,0.25,0.6945800472453185,0.5048871572203245,0.6293412221216261,0.5072347529775807,0.5847338621848788
0.15,mild,1.4,0.19,0.6374600876872363,0.5035591442323636,0.6053980459120556,0.481432259252404,0.5626528410008269
0.15,medium,1.8,0.13,0.6207339562566035,0.44055511655712787,0.5475347564029004,0.4248459822709404,0.5153497335548123
0.15,severe,2.2,0.06999999999999998,0.528218486207175,0.35580025080260874,0.44473146890299836,0.33128174632401625,0.4251952181620041
