method,condition,true_gamma,predicted_gamma,tau,precision,recall,mAP50,mAP50_95,F1
baseline,normal,1.0,,0.25,0.6850014495177349,0.52763219085458,0.6331221036851818,0.5021375668223189,0.5961055400650702
ICCC,normal,1.0,1.1393251999045626,0.23606748000954375,0.6725454687600992,0.5352442076994715,0.6327422628640391,0.5005937314119232,0.5960906498614517
ICCC_oracle,normal,1.0,1.0,0.25,0.6850014495177349,0.52763219085458,0.6331221036851818,0.5021375668223189,0.5961055400650702
baseline,mild,1.4,,0.25,0.6966131061130512,0.49238488865399593,0.619890484260484,0.4874589191232219,0.5769593694825216
ICCC,mild,1.4,1.4789965968253864,0.20210034031746135,0.6504220069562077,0.5185408343519263,0.6162839021630374,0.48088204907519233,0.577042072253558
ICCC_oracle,mild,1.4,1.4,0.21000000000000002,0.6585149523628397,0.5145168818923382,0.6171408707032603,0.4820188253315261,0.577677519185732
baseline,medium,1.8,,0.25,0.697659641478581,0.4127415099433217,0.5749119297962617,0.4451273241503927,0.5186469655253028
ICCC,medium,1.8,1.7824382848955767,0.1717561715104423,0.6171639097370004,0.4570469393857929,0.5657252276190683,0.43102281506194323,0.5251722718589337
ICCC_oracle,medium,1.8,1.8,0.16999999999999998,0.6154664407815578,0.4580459397735163,0.5655952288577397,0.4307997733539724,0.5252140718136543
baseline,severe,2.2,,0.25,0.6707129480306042,0.30026140921807953,0.49868152021559087,0.3818247414758489,0.4148188125732396
ICCC,severe,2.2,1.9952710338492676,0.15047289661507324,0.5594782482966856,0.35072896928963315,0.47716814906304245,0.35737005160344487,0.431166058835294
ICCC_oracle,severe,2.2,2.2,0.12999999999999998,0.5276964365781268,0.3629363183032784,0.47000406765021036,0.35042989374137745,0.4300767085507139
